890.1987 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000002AAF2828>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000000002AB40668>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1600,  900]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
890.1988 	EXP 	window1: recordFrameIntervals = False
890.3641 	EXP 	window1: recordFrameIntervals = True
890.5478 	EXP 	window1: recordFrameIntervals = False
890.7085 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0.  , -0.35]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.3)
890.7414 	EXP 	Created Instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instructions_text', opacity=1.0, ori=0, pos=array([-0.8,  0.4]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.55)
890.7538 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([-0.8,  0. ]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
890.7861 	EXP 	Created DemoInstr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='DemoInstr', opacity=1.0, ori=0, pos=array([-0.8,  0.4]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.4)
890.7944 	EXP 	Created Label = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='left', alignVert='top', antialias=True, autoLog=True, bold=False, color='darkolivegreen', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Label', opacity=1.0, ori=0, pos=array([0.6, 0.2]), rgb=array([ 85., 107.,  47.]), text='pun', units='height', win=Window(...), wrapWidth=0.3)
890.8202 	EXP 	Created sentenceCounter = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='sentenceCounter', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([0., 0., 0.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1.3)
891.1824 	EXP 	Instructions_text: text = 'Здравствуйте!\n\nВ этом эксперименте вы увидите 24 коротких текста. В некоторых из них может быть:\n\n  1 — каламбур (шутка, основанная на сходных по звучанию, \n                           но разных по значению словах),\n  2 — ирония (высказывание, истинный смысл которого \n                       противоположен подразумеваемому),\n  3 — метафора (скрытое образное сравнение двух предметов)\n\n...или ничего из вышеперечисленного (текст в прямом смысле).'
891.1824 	EXP 	Instructions_text: autoDraw = True
891.1824 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 1 из 10>>'
891.1824 	EXP 	text: autoDraw = True
904.1366 	DATA 	Mouse: Left button down, pos=(1311,558)
904.2045 	DATA 	Mouse:  Left button up, pos=(1313,555)
925.5644 	DATA 	Mouse: Left button down, pos=(1285,406)
925.6551 	DATA 	Mouse:  Left button up, pos=(1275,398)
926.6349 	DATA 	Keypress: right
926.7473 	EXP 	text: autoDraw = True
926.7473 	EXP 	Instructions_text: text = '\n\n\nВ этом эксперименте нет правильных и неправильных ответов.\n\nМы не проверяем ничего: нам интересно ваше мнение.'
926.7473 	EXP 	Instructions_text: autoDraw = True
926.7473 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 2 из 10>>'
926.7473 	EXP 	text: autoDraw = True
927.3048 	DATA 	Keypress: right
927.5640 	EXP 	Instructions_text: text = 'Тексты эксперимента будут появляться на экране слово за словом.\n\nВы сами управляете переходом к следующему слову с помощью стрелки вправо, а к следующему тексту — с помощью клавиши "пробел".\n\nКогда предложение будет показано полностью, появится сообщение "Предложение закончено".\n\nВернуться назад к предыдущему слову или предложению нельзя.'
927.5640 	EXP 	Instructions_text: autoDraw = True
927.5640 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 3 из 10>>'
927.5640 	EXP 	text: autoDraw = True
928.5146 	DATA 	Keypress: right
928.7640 	EXP 	Instructions_text: text = 'Каждый раз, когда появляется новое слово, подумайте, не возникли ли в тексте КАЛАМБУР, ИРОНИЯ или МЕТАФОРА.\n\nНе торопитесь открывать следующее слово или предложение целиком: нам важно понять, на каком слове вы определили, что в тексте есть КАЛАМБУР, ИРОНИЯ или МЕТАФОРА.'
928.7640 	EXP 	Instructions_text: autoDraw = True
928.7640 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 4 из 10>>'
928.7640 	EXP 	text: autoDraw = True
929.7998 	DATA 	Keypress: right
930.0306 	EXP 	Instructions_text: text = 'Если вы прочитали очередное слово и решили, что в тексте появился\n\n                   КАЛАМБУР, нажмите "1",\n                   ИРОНИЯ,   нажмите "2",\n                   МЕТАФОРА, нажмите "3".\n\nТекст окрасится в цвет, характерный для одного из этих явлений речи.\n\nЗапоминать цифры не надо: на экране постоянно будет подсказка.'
930.0306 	EXP 	Instructions_text: autoDraw = True
930.0306 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 5 из 10>>'
930.0306 	EXP 	text: autoDraw = True
930.9090 	DATA 	Keypress: right
931.1807 	EXP 	Instructions_text: text = '\nНапример, когда в тексте\n\n       “Гестаповцы обложили все выходы, \n       но Штирлиц вышел через вход.”\n\nпоявляется слово ВХОД, вы можете решить, что перед вами КАЛАМБУР и нажать "1".\n\nЕсли вы указали, что в тексте есть КАЛАМБУР на слове ШТИРЛИЦ,  то другие слова, которые относят текст к КАЛАМБУРУ ("1"), такие как, ВХОД, отмечать не надо.'
931.1807 	EXP 	Instructions_text: autoDraw = True
931.1807 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 6 из 10>>'
931.1807 	EXP 	text: autoDraw = True
937.6322 	DATA 	Keypress: right
937.9640 	EXP 	Instructions_text: text = 'Если на одном из слов ранее вы нажали "1", "2" или "3", а затем появилось слово, которое заставило вас поменять решение, нажмите клавишу с другим номером.\n\nЕсли на одном из слов ранее вы нажали "1", "2" или "3", а затем на каком-то из слов передумали и считаете, что текст не принадлежит ни одному из классов, можно "обнулить" выбор, нажав “0”.'
937.9640 	EXP 	Instructions_text: autoDraw = True
937.9640 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 7 из 10>>'
937.9640 	EXP 	text: autoDraw = True
943.2326 	DATA 	Keypress: right
943.4673 	EXP 	Instructions_text: text = 'Например, в тексте\n\n        "Чак Норрис досчитал до 98. Дважды"\n\nПрочитав слово НОРРИС, вы, возможно, подумали, что сейчас будет КАЛАМБУР и нажали "1". Но увидев "98", вы поняли, что перед вами текст в прямом смысле, и тогда, чтобы обнулить свой выбор, вы можете нажать "0".'
943.4673 	EXP 	Instructions_text: autoDraw = True
943.4673 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 8 из 10>>'
943.4673 	EXP 	text: autoDraw = True
945.0064 	DATA 	Keypress: right
