206.9617 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 4 из 10>>'
206.9617 	EXP 	text: autoDraw = True
221.5144 	DATA 	Keypress: right
221.7561 	EXP 	Instructions_text: text = 'Если вы прочитали очередное слово и решили, что в тексте появился\n\n                   КАЛАМБУР, нажмите "1",\n                   ИРОНИЯ,   нажмите "2",\n                   МЕТАФОРА, нажмите "3".\n\nТекст окрасится в цвет, характерный для одного из этих явлений речи.\n\nЗапоминать цифры не надо: на экране постоянно будет подсказка.'
221.7561 	EXP 	Instructions_text: autoDraw = True
221.7561 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 5 из 10>>'
221.7561 	EXP 	text: autoDraw = True
265.1632 	DATA 	Keypress: right
265.4307 	EXP 	Instructions_text: text = '\nНапример, когда в тексте\n\n       “Гестаповцы обложили все выходы, \n       но Штирлиц вышел через вход.”\n\nпоявляется слово ВХОД, вы можете решить, что перед вами КАЛАМБУР и нажать "1".\n\nЕсли вы указали, что в тексте есть КАЛАМБУР на слове ШТИРЛИЦ,  то другие слова, которые относят текст к КАЛАМБУРУ ("1"), такие как, ВХОД, отмечать не надо.'
265.4307 	EXP 	Instructions_text: autoDraw = True
265.4307 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 6 из 10>>'
265.4307 	EXP 	text: autoDraw = True
297.1805 	DATA 	Keypress: right
297.5114 	EXP 	Instructions_text: text = 'Если на одном из слов ранее вы нажали "1", "2" или "3", а затем появилось слово, которое заставило вас поменять решение, нажмите клавишу с другим номером.\n\nЕсли на одном из слов ранее вы нажали "1", "2" или "3", а затем на каком-то из слов передумали и считаете, что текст не принадлежит ни одному из классов, можно "обнулить" выбор, нажав “0”.'
297.5114 	EXP 	Instructions_text: autoDraw = True
297.5114 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 7 из 10>>'
297.5114 	EXP 	text: autoDraw = True
313.6129 	DATA 	Keypress: right
313.8464 	EXP 	Instructions_text: text = 'Например, в тексте\n\n        "Чак Норрис досчитал до 98. Дважды"\n\nПрочитав слово НОРРИС, вы, возможно, подумали, что сейчас будет КАЛАМБУР и нажали "1". Но увидев "98", вы поняли, что перед вами текст в прямом смысле, и тогда, чтобы обнулить свой выбор, вы можете нажать "0".'
313.8464 	EXP 	Instructions_text: autoDraw = True
313.8464 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 8 из 10>>'
313.8464 	EXP 	text: autoDraw = True
336.6383 	DATA 	Keypress: right
336.8113 	EXP 	Instructions_text: text = 'Если, прочитав весь текст, вы затрудняетесь с уверенностью сказать, есть ли в нем КАЛАМБУР, ИРОНИЯ или МЕТАФОРА или смысл текста прямой, вы сможете указать на это перед переходом к следующему отрывку, нажав "8".'
336.8113 	EXP 	Instructions_text: autoDraw = True
336.8113 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 9 из 10>>'
336.8113 	EXP 	text: autoDraw = True
367.0542 	DATA 	Keypress: right
367.1469 	EXP 	Instructions_text: text = '        Давайте попрактикуемся!\n\n  Чтобы перейти к следующей части эксперимента, нажмите “пробел”.'
367.1469 	EXP 	Instructions_text: autoDraw = True
367.1469 	EXP 	text: text = '<<Чтобы перейти к следующему слайду, нажмите стрелку вправо.>>\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.1469 	EXP 	text: autoDraw = True
367.1780 	EXP 	Instructions_text: autoDraw = True
367.1780 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.1780 	EXP 	text: autoDraw = True
367.1947 	EXP 	Instructions_text: autoDraw = True
367.1947 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.1947 	EXP 	text: autoDraw = True
367.2114 	EXP 	Instructions_text: autoDraw = True
367.2114 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.2114 	EXP 	text: autoDraw = True
367.2280 	EXP 	Instructions_text: autoDraw = True
367.2280 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.2280 	EXP 	text: autoDraw = True
367.2598 	EXP 	Instructions_text: autoDraw = True
367.2598 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.2598 	EXP 	text: autoDraw = True
367.2780 	EXP 	Instructions_text: autoDraw = True
367.2780 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.2780 	EXP 	text: autoDraw = True
367.3086 	EXP 	Instructions_text: autoDraw = True
367.3086 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.3086 	EXP 	text: autoDraw = True
367.3423 	EXP 	Instructions_text: autoDraw = True
367.3423 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.3423 	EXP 	text: autoDraw = True
367.3613 	EXP 	Instructions_text: autoDraw = True
367.3613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.3613 	EXP 	text: autoDraw = True
367.3779 	EXP 	Instructions_text: autoDraw = True
367.3779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.3779 	EXP 	text: autoDraw = True
367.3945 	EXP 	Instructions_text: autoDraw = True
367.3945 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.3945 	EXP 	text: autoDraw = True
367.4112 	EXP 	Instructions_text: autoDraw = True
367.4112 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.4112 	EXP 	text: autoDraw = True
367.4279 	EXP 	Instructions_text: autoDraw = True
367.4279 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.4279 	EXP 	text: autoDraw = True
367.4598 	EXP 	Instructions_text: autoDraw = True
367.4598 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.4598 	EXP 	text: autoDraw = True
367.4779 	EXP 	Instructions_text: autoDraw = True
367.4779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.4779 	EXP 	text: autoDraw = True
367.4946 	EXP 	Instructions_text: autoDraw = True
367.4946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.4946 	EXP 	text: autoDraw = True
367.5112 	EXP 	Instructions_text: autoDraw = True
367.5112 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.5112 	EXP 	text: autoDraw = True
367.5279 	EXP 	Instructions_text: autoDraw = True
367.5279 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.5279 	EXP 	text: autoDraw = True
367.5446 	EXP 	Instructions_text: autoDraw = True
367.5446 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.5446 	EXP 	text: autoDraw = True
367.5612 	EXP 	Instructions_text: autoDraw = True
367.5612 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.5612 	EXP 	text: autoDraw = True
367.5779 	EXP 	Instructions_text: autoDraw = True
367.5779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.5779 	EXP 	text: autoDraw = True
367.5946 	EXP 	Instructions_text: autoDraw = True
367.5946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.5946 	EXP 	text: autoDraw = True
367.6112 	EXP 	Instructions_text: autoDraw = True
367.6112 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.6112 	EXP 	text: autoDraw = True
367.6279 	EXP 	Instructions_text: autoDraw = True
367.6279 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.6279 	EXP 	text: autoDraw = True
367.6445 	EXP 	Instructions_text: autoDraw = True
367.6445 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.6445 	EXP 	text: autoDraw = True
367.6613 	EXP 	Instructions_text: autoDraw = True
367.6613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.6613 	EXP 	text: autoDraw = True
367.6779 	EXP 	Instructions_text: autoDraw = True
367.6779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.6779 	EXP 	text: autoDraw = True
367.6945 	EXP 	Instructions_text: autoDraw = True
367.6945 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.6945 	EXP 	text: autoDraw = True
367.7112 	EXP 	Instructions_text: autoDraw = True
367.7112 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.7112 	EXP 	text: autoDraw = True
367.7278 	EXP 	Instructions_text: autoDraw = True
367.7278 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.7278 	EXP 	text: autoDraw = True
367.7446 	EXP 	Instructions_text: autoDraw = True
367.7446 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.7446 	EXP 	text: autoDraw = True
367.7613 	EXP 	Instructions_text: autoDraw = True
367.7613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.7613 	EXP 	text: autoDraw = True
367.7779 	EXP 	Instructions_text: autoDraw = True
367.7779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.7779 	EXP 	text: autoDraw = True
367.7946 	EXP 	Instructions_text: autoDraw = True
367.7946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.7946 	EXP 	text: autoDraw = True
367.8114 	EXP 	Instructions_text: autoDraw = True
367.8114 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.8114 	EXP 	text: autoDraw = True
367.8280 	EXP 	Instructions_text: autoDraw = True
367.8280 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.8280 	EXP 	text: autoDraw = True
367.8446 	EXP 	Instructions_text: autoDraw = True
367.8446 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.8446 	EXP 	text: autoDraw = True
367.8613 	EXP 	Instructions_text: autoDraw = True
367.8613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.8613 	EXP 	text: autoDraw = True
367.8780 	EXP 	Instructions_text: autoDraw = True
367.8780 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.8780 	EXP 	text: autoDraw = True
367.8947 	EXP 	Instructions_text: autoDraw = True
367.8947 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.8947 	EXP 	text: autoDraw = True
367.9113 	EXP 	Instructions_text: autoDraw = True
367.9113 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.9113 	EXP 	text: autoDraw = True
367.9280 	EXP 	Instructions_text: autoDraw = True
367.9280 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.9280 	EXP 	text: autoDraw = True
367.9446 	EXP 	Instructions_text: autoDraw = True
367.9446 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.9446 	EXP 	text: autoDraw = True
367.9613 	EXP 	Instructions_text: autoDraw = True
367.9613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.9613 	EXP 	text: autoDraw = True
367.9779 	EXP 	Instructions_text: autoDraw = True
367.9779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.9779 	EXP 	text: autoDraw = True
367.9946 	EXP 	Instructions_text: autoDraw = True
367.9946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
367.9946 	EXP 	text: autoDraw = True
368.0113 	EXP 	Instructions_text: autoDraw = True
368.0113 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.0113 	EXP 	text: autoDraw = True
368.0280 	EXP 	Instructions_text: autoDraw = True
368.0280 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.0280 	EXP 	text: autoDraw = True
368.0446 	EXP 	Instructions_text: autoDraw = True
368.0446 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.0446 	EXP 	text: autoDraw = True
368.0613 	EXP 	Instructions_text: autoDraw = True
368.0613 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.0613 	EXP 	text: autoDraw = True
368.0779 	EXP 	Instructions_text: autoDraw = True
368.0779 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.0779 	EXP 	text: autoDraw = True
368.0946 	EXP 	Instructions_text: autoDraw = True
368.0946 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.0946 	EXP 	text: autoDraw = True
368.1113 	EXP 	Instructions_text: autoDraw = True
368.1113 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.1113 	EXP 	text: autoDraw = True
368.1279 	EXP 	Instructions_text: autoDraw = True
368.1279 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
368.1279 	EXP 	text: autoDraw = True
368.1446 	EXP 	Instructions_text: autoDraw = True
