1790.8627 	EXP 	text: autoDraw = True
1790.8793 	EXP 	Instructions_text: autoDraw = True
1790.8793 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.8793 	EXP 	text: autoDraw = True
1790.8959 	EXP 	Instructions_text: autoDraw = True
1790.8959 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.8959 	EXP 	text: autoDraw = True
1790.9127 	EXP 	Instructions_text: autoDraw = True
1790.9127 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.9127 	EXP 	text: autoDraw = True
1790.9508 	EXP 	Instructions_text: autoDraw = True
1790.9508 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.9508 	EXP 	text: autoDraw = True
1790.9628 	EXP 	Instructions_text: autoDraw = True
1790.9628 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.9628 	EXP 	text: autoDraw = True
1790.9794 	EXP 	Instructions_text: autoDraw = True
1790.9794 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.9794 	EXP 	text: autoDraw = True
1790.9960 	EXP 	Instructions_text: autoDraw = True
1790.9960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1790.9960 	EXP 	text: autoDraw = True
1791.0127 	EXP 	Instructions_text: autoDraw = True
1791.0127 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.0127 	EXP 	text: autoDraw = True
1791.0293 	EXP 	Instructions_text: autoDraw = True
1791.0293 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.0293 	EXP 	text: autoDraw = True
1791.0460 	EXP 	Instructions_text: autoDraw = True
1791.0460 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.0460 	EXP 	text: autoDraw = True
1791.0627 	EXP 	Instructions_text: autoDraw = True
1791.0627 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.0627 	EXP 	text: autoDraw = True
1791.0793 	EXP 	Instructions_text: autoDraw = True
1791.0793 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.0793 	EXP 	text: autoDraw = True
1791.0960 	EXP 	Instructions_text: autoDraw = True
1791.0960 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.0960 	EXP 	text: autoDraw = True
1791.1127 	EXP 	Instructions_text: autoDraw = True
1791.1127 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.1127 	EXP 	text: autoDraw = True
1791.1293 	EXP 	Instructions_text: autoDraw = True
1791.1293 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.1293 	EXP 	text: autoDraw = True
1791.1460 	EXP 	Instructions_text: autoDraw = True
1791.1460 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
1791.1460 	EXP 	text: autoDraw = True
1791.1626 	EXP 	Instructions_text: autoDraw = True
